model,mae
SARIMA,138320953.0078529
XGBoost,6571435.717566729
Prophet,201327992.48221347
LSTM,11290322.889582034
Transformer,17822160.827199
XGBoost,6571435.717566729
Prophet,201327992.48221347
LSTM,11290322.889582034
Transformer,17822160.827199
